graphite 1:1.3.14-1
graphviz 2.49.0-1
grep 3.6-1
groff 1.22.4-6
grub 2.06-1
grub-theme-manjaro 20.2-12
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsm 1.0.19-1
gssdp 1.2.3-1
gssproxy 0.8.4-1
gst-libav 1.18.4-1
gst-plugins-bad 1.18.4-11
gst-plugins-bad-libs 1.18.4-11
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gstreamer 1.18.4-1
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 1:4.4.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30-2
gts 0.7.6.121130-2
guile 2.2.7-1
gumbo-parser 0.10.1-2
gupnp 1.2.7-1
gupnp-igd 1.2.0-1
gutenprint 5.3.4-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gwenview 21.08.1-1
gzip 1.11-1
harfbuzz 2.9.1-1
harfbuzz-icu 2.9.1-1
haveged 1.9.14-1
hdparm 9.62-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hplip 1:3.21.8-1
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20210613-1
hwinfo 21.76-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3-wm 4.19.2-1
i3blocks 1.5-3
i3lock-color 2.13.c.4-1
i3status 2.13-3
iana-etc 20210728-1
icu 69.1-1
ijs 0.35-3
illyria-wallpaper 1.4-1
imagemagick 7.1.0.6-1
imath 3.1.3-1
imlib2 1.7.3-1
inetutils 2.1-1
iniparser 4.1-3
inxi 3.3.06.1-1
iproute2 5.14.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.7.0-1
iw 5.9-1
jack2 1.9.19-2
jad 1.5.8e-9
jansson 2.13.1-1
jasper 2.0.33-1
java-runtime-common 3-3
jbig2dec 0.19-1
jfsutils 1.1.15-7
jq 1.6-4
jre-openjdk 16.0.2.u7-1
